Name,URL,Location,Date Begin,Date End,Description
Big Data Innovation Summit London,https://theinnovationenterprise.com/summits/big-data-innovation-summit-london-2018,"London, UK",21 March 2018,22 March 2018,"Returning to London this year is The Big Data Innovation Summit. Bringing together a number of market leading professionals for an exciting agenda, packed full of presentations, workshops, training sessions & panel discussions."
Predictive Analytics Innovation Summit,https://theinnovationenterprise.com/summits/predictive-analytics-innovation-summit-london-2018,"London, UK",21 March 2018,22 March 2018,"Predictive Analytics is now a crucial part of business strategy. With the right approach, businesses can use AI-based predictive technologies to forecast a range of outcomes; the behaviour of customers, markets, price trends, staff retention, marketing campaign performance, fraud detection and supply chain management."
IoT Asia,http://www.internetofthingsasia.com/registration,Singapore,21 March 2018,22 March 2018,"For the past 4 years, IoT Asia has been at the forefront of bringing global collaboration and partnership opportunities to governments, businesses and communities in Asia. IoT Asia is an award winning stage that brings together technology heads, design architects, solution architects, engineers, academic institutions, investors and start-ups to assess the latest trends and partnership models in Asia."
Data innovation summit,https://www.datainnovationsummit.com,"Stockholm, Sweden",22 March 2018,22 March 2018,"This year’s event will focus on practical case studies on Data Driven Innovation, Data Management, implementation of Analytics and Data Science capabilities, Artificial Intelligence, IOT insight and technology."
Innovation Summit 2018 America,https://events.economist.com/events-conferences/americas/innovation,"Chicago, USA",22 March 2018,22 March 2018,"The Economist Events’ Innovation Summit will gather leading thinkers and practitioners to explore these opportunities and challenges. Editors from The Economist will ask the searching questions as Fortune 500 CEOs, policymakers, academics and disruptive entrepreneurs share their insights and strategies for successfully embracing AI and machine learning to build a truly intelligent company."
Sports Analytics Innovation Summit,https://theinnovationenterprise.com/summits/sports-analytics-innovation-summit-london-2018,"London, UK",22 March 2018,22 March 2018,"Push the Boundaries with Data. The Sports Analytics Innovation Summit provides a unique opportunity for sports professionals to gain a thorough understanding of this groundbreaking discipline, which has a powerful influence in all areas of high performance sport."
FossAsia,https://2018.fossasia.org,Singapore,22 March 2018,25 March 2018,"The FOSSASIA Summit is the premier Free and Open Source technology event in Asia for developers, start-ups, and contributors. Projects at FOSSASIA range from open hardware, to design, graphics and software. FOSSASIA was established in 2009. Previous events took place in Cambodia and Vietnam."
EmTech,https://events.technologyreview.com/emtech/digital/18/,"San Francisco, USA",26 March 2018,27 March 2018,"EmTech Digital is where the discerning lens of the world’s preeminent technology university meets Silicon Valley. Over the span of two days you’ll: - Gain a working understanding of complex tech that’s driving business innovation. - Learn to harness these technologies to build a competitive business advantage: increase revenue, ensure security, and make smart hires in a changing workforce. - Get clear insights that help you cut through the noise around AI and chart your strategy. - Meet the sharpest minds in the technology, management, startup, engineering, and academic communities–the people leading the next wave of intelligent technologies."
Sentiment Analysis Symposium,http://2018.sentimentsymposium.com/,"New York, USA",26 March 2018,27 March 2018,"Emotion impact for consumers, finance and media"
GPU Technology Conference,https://www.nvidia.com/en-us/gtc/,"Silicon Valley, USA",26 March 2018,29 March 2018,"GTC is the largest and most important AI and deep learning event of the year for GPU developers. Come explore GTC and the global GTC event series for valuable training and a showcase of the most vital work in the computing industry today. See the latest breakthroughs in everything from healthcare to virtual reality, accelerated analytics, and self-driving cars."
International Conference on Advanced Computational Intelligence (ICACI),http://www.icaci2018.org/,"Xiamen, China",29 March 2018,31 March 2018,"ICACI 2018 aims to provide a high-level international forum for scientists, engineers, and educators to present the state-of-the-art research and applications in computational intelligence. The conference will feature plenary speeches given by world renowned scholars, regular sessions with broad coverage, and special sessions focusing on popular topics."
ICEGOV  2018,http://www.icegov.org,"Galway, Ireland",4 April 2018,6 April 2018,"The conference focuses on the use of technology to transform the working of government and its relationships with citizens, businesses, and other non-state actors in order to improve public governance and its contribution to public policy and development (EGOV). It also promotes the interaction and cooperation between universities, research centres, governments, industries, and non-governmental organizations needed to develop the EGOV community. It is supported by a rich program of keynote lectures, plenary sessions, papers presentations within the thematic sessions, invited sessions, and networking sessions"
Future of Information and Communication Conference (FICC),http://saiconference.com/FICC,Singapore,5 April 2018,6 April 2018,"FICC 2018 aims to provide a forum for researchers from both academia and industry to share their latest research contributions and exchange knowledge with the common goal of shaping the future of Information and Communication. Join us, April 5-6, to explore discovery, progress, and achievements related to Communication, Data Science, Computing and Internet of Things."
International Conference on Data Intelligence and Security (ICDIS),https://www.icdis.org/,"South Padre Island, USA",8 April 2018,10 April 2018,"The First International Conference on Data Intelligence and Security (ICDIS-2018) aims to: (1) provide a unique forum where data management, data intelligence, and data security are all involved; (2) provide a forum for researchers, experts, professionals and stakeholders in related fields to disseminate their recent advances and share their views on future perspectives."
AnacondaCON 2018,https://anacondacon.io/,"Austin, USA",8 April 2018,11 April 2018,"From the creators of Anaconda Distribution, the world’s most popular Python data science platform, AnacondaCON 2018 is the hottest data science conference of the year! This three-day event, taking place in Austin on April 8-11, 2018, will feature keynotes, general sessions, and three main tracks: Real World Data Science, Anaconda Enterprise, and Open Source Technology. We’re also excited to offer a full day of tutorials that will show you how to harness the power of data science."
SAS Global Forum 2018,https://www.sas.com/en_us/events/sas-global-forum.html,"Denver, USA",8 April 2018,11 April 2018,"Data can have an extraordinary impact on the world. From humanitarian issues to complex business challenges, it’s used in meaningful and diverse ways. And, in the hands of lifelong learners, the future of data is unlimited – especially when education and business join forces."
Flink Forward San Francisco,https://sf-2018.flink-forward.org/,"San Francisco, USA",9 April 2018,10 April 2018,"Apache Flink is an open source stream processing platform for real-time analytics and real-time applications. Apache Flink provides efficient, fast, accurate, and fault tolerant handling of massive streams of events. Apache Flink also supports batch processing as a special case of stream processing. data Artisans engineers wrote the first line of what would later become Apache Flink in 2010. data Artisans is 100% dedicated to pushing Apache Flink forward as members of the open source community. In this high-level overview of Apache Flink, we’ll highlight a selection of Apache Flink’s key features and will provide links to additional resources for more detail."
The 21st International Conference on Artificial Intelligence and Statistics,http://www.aistats.org,"Lanzarote, Canary Islands",9 April 2018,11 April 2018,"Since its inception in 1985, AISTATS has been an interdisciplinary gathering of researchers at the intersection of artificial intelligence, machine learning, statistics, and related areas."
QCon. ai,https://qcon.ai/,"San Francisco, USA",9 April 2018,11 April 2018,"QCon.ai is a conference for senior software engineers and architects on the patterns, practices, and use cases for applying Artificial Intelligence / Machine Learning in engineering."
SpeechTEK,http://www.speechtek.com/2018/,"Washington, USA",9 April 2018,11 April 2018,"Speech and conversational technologies—from voice-only IVR to visual IVR, multimodal to omnichanel, from simple commands to advanced natural language, and from smart apps to digital assistants (both voice and text)—help businesses connect with customers. These technologies help customers search, query, interact, and perform transactions easily and effectively."
Artificial Intelligence Conference Beijing,https://ai.oreilly.com.cn/ai-cn?locale=en,"Beijing, China",10 April 2018,13 April 2018,Two global AI hubs come together—the AI Conference in Beijing is an unprecedented meeting of the world’s leading innovators in applied AI.
Marketing analytics and data science,https://marketing.knect365.com/marketing-analytics-data-science/,"San Francisco, USA",11 April 2018,13 April 2018,The 2018 Data Science & Marketing Analytics Conference will focus on how Data can be used to drive specific business purposes. You already know that there is no shortage of data. What you need to figure out is what to do with the data and how the data can help your company achieve better bottom line results.
22nd FRUCT Conference: 12th Workshop on Advances in Methods of Information and Communication Technology,https://www.fruct.org/amict18,"Petrozavodsk, Russia",11 April 2018,13 April 2018,"This year AMICT workshop will be held within the scope of the 22nd Conference of the Open Innovations Association FRUCT. The topics of interest include the following subject areas: • Information technology, • Network communication, • Information systems, • Theoretical and applied computer science, • Algorithms and Modeling, • Teaching methodology in Computer Science."
Applied Artificial Intelligence Conference,https://www.eventbrite.com/e/applied-artificial-intelligence-conference-2018-aai18-tickets-38511726611,"San Francisco, USA",12 April 2018,12 April 2018,"The one day conference brings together the brightest and most experienced professionals in the field of AI for an immersive day of learning, discussion, and connection. This year’s agenda will focus on the latest and future impact of AI applications and commercialization across a breadth of sectors, including Transportation, Healthcare, Finance, Future of Work and Cybersecurity."
AI World Forum,http://www.worldforumdisrupt.com/ai-san-francisco-2018/,"San Francisco, USA",12 April 2018,12 April 2018,"We bring those at the forefront of AI together, providing an outlet for thought sharing, leading to change & growth! Each speaker shares their INCREDIBLE insight from case study examples, ensuring our attendees walk away with actionable tactics and strategies that can be implemented straight away. Our focus is on uniting leading minds, generating unrivalled learning experiences, creating passionate discussion and actual transformation."
Discovery Summit China,https://discoverysummit.jmp/en/home.html/#beijing,"Beijing, China",12 April 2018,12 April 2018,"The Discovery Summit Series is the living, breathing version of JMP software: interactive, dynamic, and visual. Each Summit brings together world-renowned thought leaders, JMP experts, and business leaders from many industries to exchange best practices in data exploration, and play with both new and proven statistical techniques."
Data Visualization Summit San Francisco,https://theinnovationenterprise.com/summits/data-visualization-summit-san-francisco-2018,"San Francisco, USA",12 April 2018,13 April 2018,"With 20+ Industry Speakers & 150+ delegates, Data Visualization brings together the world's leaders in the industry. Running concurrently with our Big Data Innovation Summit, networking opportunities are second to none."
Southern Data Science Conference,https://www.southerndatascience.com/,"Atlanta, USA",13 April 2018,14 April 2018,"If you are a data science enthusiast who is interested in learning from the experts and top researchers about the cutting-edge technologies and best practices in data science, don't hesitate to register for SDSC '18. Also, SDSC '18 is a single track conference which will let you attend all the talks without a worry of missing an interesting talk due to a conflict with another interesting talk's time or due to a small break-out room where people are packed to attend that interesting talk"
OpenVis Conf,http://www.openvisconf.com/,"Paris, France",14 April 2018,16 April 2018,"OPENVIS CONF is a two-day, single track conference centered around the practice of visualizing data with open source tools on the web. In 2018, we are following the main program by educational, hands-on workshops. Our conference program merges the latest in visualization research, technology, and practice, constructed by an open-call submission and committee review process."
INFORMS Analytics Conference,http://meetings2.informs.org/wordpress/analytics2018/,"Baltimore, USA",15 April 2018,17 April 2018,"INFORMS Analytics Conference brings together 1,000 leading analytics professionals and industry experts (executives, analysts, managers, researchers, data scientists, modelers, etc.) to share ideas, network, and learn about the possibilities that can be generated by analytics."
ICASSP 2018,https://2018.ieeeicassp.org/,"Calgary, Canada",15 April 2018,20 April 2018,Signal Processing and Artificial Intelligence: Changing the World
International Conference On Artificial Intelligence,https://artificialintelligence.conferenceseries.com/,"Las Vegas, USA",16 April 2018,17 April 2018,"The International Conference On Artificial Intelligence provides a platform for a scientific gathering of researchers, academics, students, professionals, and industrialists from the field of artificial intelligence. This is one of the machine learning and artificial intelligence conferences that feature talks on the future of artificial intelligence, latest research. Furthermore, there will be discussions on how advancements in technology are increasing the rate at which different industries are adopting AI as well as how AI is affecting a number of industries such as manufacturing, control systems, and data mining to name a few."
DataWorks Summit Berlin,https://dataworkssummit.com/berlin-2018/,"Berlin, Germany",16 April 2018,19 April 2018,"Leading enterprises are using advanced analytics, data science, and artificial intelligence to transform the way they deliver customer and product experiences—at scale. Discover how they’re doing it. Learn about the latest developments. And network with peers and pioneers to learn how to apply open source technology to accelerate your digital transformation."
ICDE 2018 (International Conference on Data Engineering),https://icde2018.org,"Paris, France",16 April 2018,20 April 2018,"The annual IEEE International Conference on Data Engineering (ICDE) addresses research issues in designing, building, managing, and evaluating advanced data-intensive systems and applications. It is a leading forum for researchers, practitioners, developers, and users to explore cutting-edge ideas and to exchange techniques, tools, and experiences. We invite the submission of original research contributions."
Monage,https://www.monage.io/,"Mountain View, USA",17 April 2018,19 April 2018,"The MoNage ecosystem connects Chatbots, Messaging Platforms, AI and Conversational Interfaces. Blockchain technologies, Tokens and Crypto fuel the MoNage economy. We are at the forefront of the next communications revolution. Join us and learn about the future of communications."
IIA (International Institute for Analytics),http://www.iiasymposium.com/,"Santa Clara, USA",18 April 2018,18 April 2018,"IIA offers unbiased advice in an industry dominated by hardware and software vendors, consultants and system integrators. With a vast network of analytics experts, academics and leaders at successful companies, we guide our clients as they build and grow successful analytics programs."
IoT techexpo,https://www.iottechexpo.com/global/,"London, UK",18 April 2018,19 April 2018,"This year’s agenda will highlight the most innovative advancements in technologies which are affecting IoT. There will be case studies and dedicated tracks covering the entire Internet of Things ecosystem including Smart Transportation & Cities, Developing for the IoT, Connected Industry, Consumer IoT, Privacy & Security and IoT Innovations & Technologies. Topics include: smart cities, data analytics, IoT in enterprise, security and privacy, monetization, agriculture, utilities, manufacturing & supply chain, sports & fitness, connected & autonomous vechicles."
AI Expo Globa 2018,https://www.ai-expo.net/global/,"London, UK",18 April 2018,19 April 2018,"Our high-level conferences will bring together forward thinking brands, market leaders, AI evangelists and hot start-ups to explore and debate the advancements in Artificial Intelligence, the impacts within the Enterprise & Consumer sectors as well as Development platforms and Digital Transformation opportunities. Topics covered include Business Intelligence, Deep Learning, Machine Learning, AI Algorithms, Data & Analytics, Virtual Assistants & Chatbots as well as case study based presentations proving an insight into the deployment of AI across different verticals."
Big Data & Analytics Innovation Summit,https://theinnovationenterprise.com/summits/big-data-analytics-hong-kong-2018,Hong Kong,18 April 2018,19 April 2018,"With over 25 internationally renowned speakers and 150+ world-class delegates in attendance this summit boasts some of Big Data's most influential individuals to educate you, inspire you and gives you unprecedented access to incredible networking opportunities."
AI Conference Moscow,https://aiconference.ru/en,"Moscow, Russia",19 April 2018,19 April 2018,Find out how to apply AI technologies to improve: sales; production; marketing; customer service.
,https://carto.com/locations-event/madrid/,"Madrid, Spain",19 April 2018,20 April 2018,"CARTO Locations is the world’s biggest Location Intelligence Summit. Hundreds of leaders, innovators, practitioners, and thought leaders from the global geospatial community will come together to discuss how location data is disrupting business, governments, and society."
Enterprise Data World (EDW),http://edw2017.dataversity.net/,"San Diego, USA",22 April 2018,27 April 2018,"What to Expect at EDW 2017: Accelerating Self Service BI; Advanced Data Architectures for Big Data, IoT and the Cloud; Agile Analytic Operations; Architecting a Big Data Platform; Blockchain Impact on Enterprise Data Management; Building a Master Data Ontology; Building the Business Glossary; Building the Enterprise Knowledge Graph; Cross Functional Data Governance Program; Current State of NoSQL Databases; Data Catalogs; Data Curation; Data Glossary as a Service; Data Governance Architecture; Data Governance for European Union GDPR; Data Integration Hubs etc."
RPA & AI Summit,https://rpanordics.iqpc.co.uk/,"Copenhagen, Denmark",23 April 2018,25 April 2018,"Across the Nordics, organisations are ramping up robotic process automation, and looking to leverage it beyond the breakeven point, creating tangible returns. But with this new technology comes a complex set of questions and no guidebook for success. At Intelligent Automation Nordics you will arm yourself with this knowledge to achieve greater productivity, quality, customer experience and cost savings for the business."
Qonnections 2018 ,https://www.qlikqonnections.com/,"Orlando, USA",23 April 2018,26 April 2018,Experience innovative uses of technology in conjunction with the Qlik platform and get a glimpse into how emerging technologies will help deliver the needs of the “Workspace of the Future”. Participants can interact with innovative and immersive experiences in real time.
The Web Conference,https://www2018.thewebconf.org/,"Lyon, France",23 April 2018,27 April 2018,Bridging natural and artificial intelligence worldwide
BIDMA 2018,http://bidma.cpsc.ucalgary.ca/2018/,"Calgary, Canada",24 April 2018,25 April 2018,International Symposium on Big Data Management and Analytics
RedisConf18,http://redisconf.com/,"San Francisco, USA",24 April 2018,26 April 2018,"From humble beginnings to primary, multi-model database of the future! Join us on this remarkable journey of Redis, as it evolves into the most versatile, highest performance, must-have database technology for all modern applications. Learn from the experts. Share your use cases. Master key concepts. Hang with the contributors. But most of all, mingle with the community behind the most popular database! With over 75+ sessions, technical training tracks, developer hangouts and cool parties, RedisConf18 is the conference you can’t miss!"
IEEE International Conference on Soft Robotics (RoboSoft),http://www.robosoft2018.org/index.html,"Livorno, Italy",24 April 2018,28 April 2018,"The field of soft robotics has grown significantly in the last decade and has brought significant achievements in terms of principles, models, technologies, fabrication techniques for soft robots and in interdisciplinary areas such as soft functional materials, stretchable electronics and biology. The conceptual and theoretical framework of soft robotics includes modeling and control and computational capacity of soft body dynamics, i.e. “morphological computation”. It becomes possible to pursue applications of soft robots in several fields, ranging from explorations to biomedical applications."
"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",https://www.elen.ucl.ac.be/esann/index.php?pg=welcome,"Bruges, Belgium",25 April 2018,27 April 2018,"This event builds upon a very successful series of conference organized each year since 1993. ESANN has become a major scientific events in the machine learning, computational intelligence and artificial neural networks fields over the years."
Big Data & AI Leaders Summit,https://www.forwardleading.co.uk/meetings/big-data-ai-leaders-sydney-2018,"Sydney, Australia",26 April 2018,27 April 2018,Here you can learn from the AI technology forerunners and knowledge share with companies who are leading the evolution of big data in their daily operations and put your self on the forefront of the latest industry discussions. The Big Data & AI Leaders Summit will offer an in-depth overview of future trends in the artificial intelligence landscape and real-world big data user cases to enhance your understanding what is the future of Big Data and how Artificial Intelligence is impacting your industry and create opportunities for new growth.
Artificial Intelligence Conference New York,https://conferences.oreilly.com/artificial-intelligence/ai-ny,"New York, USA",29 April 2018,2 May 2018,The Artificial Intelligence Conference delivers an unsurpassed depth and breadth in technical content—with a laser-sharp focus on the most important AI developments for business.
ICLR 2018,http://www.iclr.cc/doku.php?id=iclr2018:main,"Vancouver, Canada",30 April 2018,3 May 2018,"The performance of machine learning methods is heavily dependent on the choice of data representation (or features) on which they are applied. The rapidly developing field of deep learning is concerned with questions surrounding how we can best learn meaningful and useful representations of data. We take a broad view of the field and include topics such as feature learning, metric learning, compositional modeling, structured prediction, reinforcement learning, and issues regarding large-scale learning and non-convex optimization. The range of domains to which these techniques apply is also very broad, from vision to speech recognition, text understanding, gaming, music, etc."
Collision,https://collisionconf.com/,"New Orleans, USA",30 April 2018,3 May 2018,"Collision is “America’s fastest growing tech conference” created by the team behind Web Summit. In three years, Collision has grown to almost 20,000 attendees from 119 countries. Attendees include CEOs of both the world’s fastest growing startups and the world’s largest companies, alongside leading investors and media."
TalkRobot,https://collisionconf.com/talk-robot,"New Orleans, USA",30 April 2018,3 May 2018,"TalkRobot is the world’s leading AI and robotics conference, gathering experts in artificial intelligence, robotics and hardware. Join thousands of leading companies, startups, investors, engineers, roboticists and researchers in New Orleans."
F8 — Facebook Developer Conference,https://www.f8.com/,"San Diego, USA",1 May 2018,2 May 2018,Sign up now to receive exclusive updates on how to register and what you'll see at F8.
ODSC east,https://odsc.com/boston,"Boston, USA",1 May 2018,4 May 2018,"Accelerate your data science knowledge, training, and network. All in one event. ODSC West 2017 is one of the largest applied data science conferences in the world. Our speakers include some of the core contributors to many open source tools, libraries, and languages. Attend ODSC West 2017 and learn the latest AI & data science topics, tools, and languages from some of the best and brightest minds in the field."
Business Analytics Innovation Summit Chicago,https://theinnovationenterprise.com/summits/business-analytics-innovation-summit-chicago-2018,"Chicago, USA",2 May 2018,3 May 2018,"The Business Analytics Innovation Summit provides a platform to share unique insight into the innovations that are driving success in the worlds leading organizations. And now, with the addition of the Marketing Analytics track, you have the opportunity to engage with an even wider scope of speakers and ideas!"
Data science conf,https://www.thedatascienceconference.com,"Chicago, USA",3 May 2018,4 May 2018,"This conference is for business analytics professionals working in data science, big data, data mining, machine learning, artificial intelligence, or predictive modeling who want to attend an event without being prospected by other attendees. Our unique core philosophy is simply to provide a vendor-free, sponsor-free, and recruiter-free conference for professional data scientists."
AI Congress Vegas,https://theaicongressvegas.com/,"Las Vegas, USA",3 May 2018,4 May 2018,"AI Congress Vegas 2018 will bring together hundreds of leading enterprises from across America to look at how Artificial Intelligence and Machine Learning is changing how we do business. The event will provide high level presentations, real life examples and hands on advice from business leaders of America's largest companies, discussing how they are adapting and benefiting from the advances of AI."
SIAM International Conference on Data Mining (SDM18),http://www.siam.org/meetings/sdm18/,"San Diego, USA",3 May 2018,5 May 2018,"As a professional society, SIAM is committed to providing an inclusive climate that encourages the open expression and exchange of ideas, that is free from all forms of discrimination, harassment, and retaliation, and that is welcoming and comfortable to all members and to those who participate in its activities. In pursuit of that commitment, SIAM is dedicated to the philosophy of equality of opportunity and treatment for all participants regardless of gender, gender identity or expression, sexual orientation, race, color, national or ethnic origin, religion or religious belief, age, marital status, disabilities, veteran status, field of expertise, or any other reason not related to scientific merit. This philosophy extends from SIAM conferences, to its publications, and to its governing structures and bodies. We expect all members of SIAM and participants in SIAM activities to work towards this commitment."
TDWI Chicago,https://tdwi.org/events/conferences/chicago.aspx,"Chicago, USA",6 May 2018,11 May 2018,"TDWI Chicago brings the future of data and analytics to life. Our comprehensive agenda covers the most important topics and success factors in the transformation to a data-driven business, with expert instructors whose only goal is to get you to the next level. Learn how to modernize your data strategy and ecosystem, enable rapid scalability and elasticity, move from post-hoc analysis to predictive, and democratize your analytics efforts. Regardless of title or department, everyone has a role in the data revolution. TDWI is dedicated to helping you be ready for success in yours."
Prepare.ai Conference,http://prepare.ai/conference/,"St. Lous, USA",8 May 2018,8 May 2018,"The Prepare.Ai Conference is the Midwest’s premier forum to explore, understand, and influence how Artificial Intelligence will impact our lives and businesses.We will have exciting keynotes and sessions from industry leaders. Experts and newcomers alike will find valuable resources, insights, and networking opportunities."
Digital Transformation 2018,https://events.forrester.com/ehome/index.php?eventid=275891&,"Chicago, USA",8 May 2018,9 May 2018,"Digital transformation now dominates many C-suite and boardroom agendas. But it remains unclear what “digital transformation” means. Most definitions are shallow, even while expectations for success are optimistic. Faced with these disparate viewpoints and demands, CIOs, CTOs, and CDOs struggle to define cohesive digital strategies — resulting in (at best) tinkering at the margins or (at worst) chaos and inefficiency."
TRAIN,https://www.crowdflower.com/train-ai/,"San Francisco, USA",9 May 2018,10 May 2018,"TRAIN will gather machine learning and artificial intelligence experts, thought leaders, developers, and engineers. The main focus of TRAIN is on machine learning and how it can be used to solve real problems in the business world. The conference will also feature talks and demos on artificial intelligence and its applications."
Machine Learning Innovation Summit,https://theinnovationenterprise.com/summits/machine-learning-innovation-summit-san-francisco-2018,"San Francisco, USA",9 May 2018,10 May 2018,"Join us at the Machine Learning Innovation Summit as we bring together leaders in the field to discuss the application of machine learning, deep learning, and AI in solving real business problems."
MachineCon,https://www.themachinecon.com/,"Mumbai, India",11 May 2018,11 May 2018,The Machine Conference is India’s most powerful gathering of Analytics & Data Science Leaders. Analytics adoption tops our agenda as we examine the latest opportunities and challenges in a data driven world. Meet & Interact with your peers as we bring together the leader of Indian Analytics Industry and explore the ground breaking innovations and the challenges that they face in analytics adoption
WWDVC 2018,http://wwdvc.com/,"Vermont, US",14 May 2018,14 May 2018,"WORLD WIDE DATA VAULT CONSORTIUM. Speakers will share customer case studies, results, and practical application experience about Data Vault 2.0, modeling, methodology and architecture. Most important, you will experience networking with other professionals from around the world! Data Vault 2.0 Education, new standards, Big Data, NoSQL, physical modeling, and virtualization are all on the agenda"
IoT world,https://tmt.knect365.com/iot-world/,"Santa Clara, USA",14 May 2018,17 May 2018,IOT IN ACTION: TURBO CHARGE IOT FROM STRATEGY TO IMPLEMENTATION TO RESULTS
Business of Bots 2018,https://businessofbots.com/san-francisco-2018/,"San Francisco, USA",15 May 2018,17 May 2018,"Whether it's the latest in technology and bot platforms, in depth case studies from major brands, ad agency expertise, the latest tips and tricks from developers or chatbots 101, we searched high and low for the best in the business of bots in 2017."
Colombian Conference on Applications in Computational Intelligence (ColCACI),http://www.guide2research.com/conference/colcaci-2018,"Medellin, Columbia",16 May 2018,18 May 2018,"During the last years, Medellin has gained national and international recognition for the development of multiple initiatives in the field of computational applications. These tools have been used successfully to solve some government and education institutions problems. Medellin has 10 universities with undergraduate and graduate programs related to CI. This has allowed the local companies to grow and has encouraged multinational industries to open branch offices in the city."
Rise of AI Conference 2018,https://riseof.ai/,"Berlin, Germany",17 May 2018,17 May 2018,"Rise of AI is a full-day conference limited to 500 AI experts, decision-makers, opinion-leaders and game-changers. Rise of AI gives you the opportunity to network, learn how to apply AI at your company and understand Artificial Intelligence’s impact for society."
Data Disrupt,http://www.datadisrupt.com/,"New York, USA",20 May 2018,24 May 2018,"DataDisrupt is the premier event focused on the impact of large scale data sets, new data sources, innovative analytic techniques, the latest technologies and the most creative entrepreneurs on the financial services sector. The conference will highlight many of the world's leading data analytics companies, and will congregate the ecosystem converging around them."
Strata data conf,https://conferences.oreilly.com/strata/strata-eu,"London, UK",21 May 2018,24 May 2018,"Topics we'll cover include: Data science and machine learning, Data engineering and architecture, Streaming systems and real-time applications, Big data and data science in the cloud, Emerging technologies and case studies. Visualization and user experience Platform security and cybersecurity Law, ethics, and governance Data-driven business management"
Chief Analytics Officer — Spring,https://coriniumintelligence.com/chiefanalyticsofficerspring/,"San Francisco, USA",21 May 2018,24 May 2018,"This conference is not just for Chief Analytics Officers: it may be led by CAO’S but all top level Analytics, Data, Data Science, Business Intelligence specialists cross-industry are welcome, allowing you to meet and network with the very best of your peers from a range of organizations and backgrounds."
The International Conference on Robotics and Automation (ICRA),http://icra2018.org/,"Brisbane, Australia",21 May 2018,25 May 2018,The International Conference on Robotics and Automation (ICRA) is the IEEE Robotics and Automation Society’s flagship conference and is a premier international forum for robotics researchers to present their work.
Data Summit,http://www.dbta.com/DataSummit/2018/Default.aspx,"Boston, USA",22 May 2018,23 May 2018,"The Data Summit conference is a unique event that brings together IT practitioners and business stakeholders from all types of organizations. Top corporations, government agencies, and public institutions gather together to learn about the leading technologies and strategies for succeeding in this increasingly data-driven world."
